gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides17568,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61465,0,14,5,194,190,16,78,2,14,26,23,16
Pastreoides48838,0,58,17,59,296,139,51,7,2,349,164,313
Pastreoides48839,0,0,15,27,100,30,27,4,0,100,57,162
Pastreoides61460,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides11866,0,160,305,1769,1991,2706,597,126,44,3239,1787,2728
Pastreoides61462,0,5,4,10,12,7,8,3,0,8,5,10
Pastreoides61463,0,17,4,0,0,0,9,0,4,0,6,13
Pastreoides54619,0,4,2,2,6,4,6,0,0,2,2,5
Pastreoides59850,0,0,0,6,5,0,11,0,0,13,3,15
Pastreoides28852,0,0,0,39,88,48,3,0,0,52,31,51
Pastreoides23801,0,2,0,0,0,0,14,0,4,0,0,0
Pastreoides28850,0,0,0,0,0,0,0,0,0,2,0,0
Pastreoides23803,0,42,125,78,0,63,133,21,0,82,20,109
Pastreoides28856,0,24,18,0,0,0,0,0,0,0,0,0
Pastreoides23805,0,69,132,87,91,49,131,25,0,31,13,56
Pastreoides28854,0,0,0,64,546,62,0,0,0,199,117,188
Pastreoides28855,0,5,6,8,7,0,4,0,0,0,0,0
Pastreoides23808,0,0,0,3,0,0,0,0,0,2,2,0
Pastreoides23809,0,25,89,64,80,53,173,49,32,87,32,41
Pastreoides28858,0,107,151,700,674,748,349,120,15,566,329,665
Pastreoides28859,0,0,20,266,193,137,43,21,3,193,128,250
Pastreoides54303,0,0,0,0,0,46,0,0,0,249,107,316
Pastreoides61860,0,1,2,4,0,4,5,0,0,0,3,4
Pastreoides63529,0,160,112,544,562,423,242,57,19,575,319,680
Pastreoides38796,0,0,20,26,33,15,4,18,15,32,22,21
Pastreoides29187,0,0,0,2,0,1,2,1,0,0,1,0
Pastreoides29186,0,0,0,0,0,0,0,2,0,0,2,0
Pastreoides29185,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides29184,0,0,0,0,0,0,3,0,0,0,3,0
Pastreoides29183,0,3,0,8,8,2,15,2,0,6,4,4
Pastreoides29182,1,14,18,35,26,28,32,8,2,23,15,38
Pastreoides29181,2,39,32,53,53,27,60,13,4,33,33,48
Pastreoides33088,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides29189,2,10,13,14,14,3,31,5,2,3,0,7
Pastreoides00701,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides00702,0,24,13,36,155,103,30,0,38,120,35,70
Pastreoides35369,3,8,65,244,301,311,98,32,11,450,239,402
Pastreoides31601,0,0,0,0,0,1,2,1,0,1,0,0
Pastreoides43322,0,0,0,17,28,78,7,0,0,36,18,38
Pastreoides16997,0,0,0,0,14,0,3,0,0,0,0,0
Pastreoides09208,0,44,110,932,849,635,104,129,21,414,259,485
Pastreoides09209,0,76,197,2425,3575,4994,261,120,33,4042,2256,3638
Pastreoides62289,0,18,71,60,65,80,43,16,0,97,100,123
Pastreoides62288,0,0,0,0,0,0,0,0,0,0,1,0
Pastreoides62285,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides09203,0,86,122,576,780,489,187,115,33,555,374,413
Pastreoides62287,0,0,10,0,0,0,0,0,0,0,0,0
Pastreoides09201,0,14,28,706,749,827,56,16,0,1014,564,943
Pastreoides62281,0,0,0,13,0,0,14,0,0,0,0,0
Pastreoides09207,0,74,101,967,909,544,130,101,12,490,274,638
Pastreoides09204,0,88,140,916,944,1696,277,56,6,1323,852,1436
Pastreoides62282,0,4,2,9,25,49,4,2,0,47,27,54
Pastreoides35362,0,73,109,1692,1833,1704,77,40,0,1275,726,1714
Pastreoides31600,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides46873,0,0,0,147,0,0,0,0,0,0,0,0
Pastreoides00709,0,7,12,0,16,34,17,0,0,33,15,10
Pastreoides08992,0,0,0,2,2,0,0,0,0,0,0,1
Pastreoides57558,0,293,614,2478,2972,1754,627,247,41,2489,1384,3693
Pastreoides12361,0,88,86,2293,3535,5074,189,97,7,7945,4507,6485
Pastreoides57550,0,0,0,144,152,142,65,0,3,183,110,277
Pastreoides57553,0,45,87,350,515,2047,37,14,20,6027,2982,6398
Pastreoides57552,0,42,80,1018,1129,679,137,20,0,1031,683,1533
Pastreoides57555,16,103,96,1023,1190,853,241,60,32,1154,608,1143
Pastreoides12364,27,324,545,1883,2142,1464,559,295,78,1381,923,1440
Pastreoides12367,0,478,756,1284,2074,4848,1070,289,47,3754,2316,3751
Pastreoides57556,0,0,0,0,0,0,0,0,0,0,0,4
Pastreoides29723,0,5,0,0,0,0,3,6,0,0,0,0
Pastreoides29722,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides29721,0,107,82,1553,1719,1391,96,25,0,1623,966,1705
Pastreoides29720,0,0,27,258,226,185,40,26,0,196,123,214
Pastreoides29727,0,348,463,2678,2011,2411,546,200,28,2235,1200,2924
Pastreoides29726,0,0,4,4,3,0,14,3,0,2,0,0
Pastreoides29725,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides29724,70,1469,2301,8528,10718,9772,2380,1378,247,10077,5844,11889
Pastreoides29729,0,52,137,525,335,413,130,42,0,451,216,571
Pastreoides29728,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides04309,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61864,0,0,0,0,0,0,3,0,0,0,0,0
Pastreoides60416,0,10,0,0,0,0,0,0,0,0,0,15
Pastreoides60417,58,772,2198,3812,2852,3712,3027,1128,197,4655,2439,6207
Pastreoides60414,0,0,0,2,2,0,0,0,0,0,0,0
Pastreoides60415,0,0,10,180,254,205,44,33,0,66,17,46
Pastreoides60412,0,0,3,16,0,20,6,2,7,8,0,0
Pastreoides60413,0,33,54,0,0,0,48,28,8,0,0,8
Pastreoides60410,0,0,0,118,0,0,0,0,5,291,189,250
Pastreoides60411,3,0,42,199,246,214,50,0,0,218,165,278
Pastreoides57025,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides60418,0,0,0,0,2,0,3,0,0,3,0,3
Pastreoides60419,0,90,183,297,270,273,259,131,17,366,207,514
Pastreoides21536,0,84,137,2149,1997,2942,245,70,20,3094,1980,4348
Pastreoides21537,0,120,157,72,263,68,105,143,26,108,86,136
Pastreoides10800,0,0,7,6,26,0,0,0,0,31,20,16
Pastreoides17857,6,37,21,4,19,3,106,11,12,29,25,82
Pastreoides21532,0,0,2,0,0,0,3,0,0,0,0,0
Pastreoides21533,0,0,0,0,0,0,0,2,0,0,0,0
Pastreoides21530,0,0,0,7,0,5,1,0,0,3,0,0
Pastreoides21531,0,26,34,165,143,226,50,14,0,218,120,351
Pastreoides10808,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides10809,0,2,18,4,8,12,19,0,0,12,5,12
Pastreoides17858,0,0,18,11,5,0,0,11,4,16,8,0
Pastreoides17859,0,0,0,0,0,1,0,0,0,0,0,0
Pastreoides21538,0,0,0,0,0,1,0,0,0,2,0,5
Pastreoides21539,0,2,0,8,6,4,6,0,0,4,4,6
